score,id,class,significance,file,line number,procedure,priority,state,finding,owner,url
50,4491338.7545210241,Non-unique Identifiers: Typedef,Style,logrecord.h,131,"",HB_PRIO_1,New,None,"",/warninginstance/7545210241.txt
50,4491340.7545210243,Non-unique Identifiers: Typedef,Style,logrecord.h,146,"",HB_PRIO_1,New,None,"",/warninginstance/7545210243.txt
50,4495191.7545212056,Inappropriate Assignment Type,Style,ds_livedata.c,870,fill_bsm_part1_live,HB_PRIO_2,New,None,"",/warninginstance/7545212056.txt
50,4495215.7545212154,Inappropriate Assignment Type,Style,ds_livedata.c,1349,fill_bsm_pp_live,HB_PRIO_2,New,None,"",/warninginstance/7545212154.txt
50,4497159.7545213815,Inappropriate Assignment Type,Style,ds_coc.c,66,initialize_coc,HB_PRIO_2,New,None,"",/warninginstance/7545213815.txt
50,4497161.7545213817,Inappropriate Assignment Type,Style,ds_coc.c,135,bsmd_coc_start_transmit,HB_PRIO_2,New,None,"",/warninginstance/7545213817.txt
50,4498040.7545214002,Inappropriate Assignment Type,Style,bsmd_misc.c,25,bsmd_change_msgcnt,HB_PRIO_2,New,None,"",/warninginstance/7545214002.txt
50,4498041.7545214006,Inappropriate Assignment Type,Style,bsmd_misc.c,54,bsmd_change_tempid,HB_PRIO_2,New,None,"",/warninginstance/7545214006.txt
50,4498514.7545214454,Inappropriate Assignment Type,Style,bsmd.c,1417,facility_init_radio_sub,HB_PRIO_2,New,None,"",/warninginstance/7545214454.txt
50,4498548.7545214665,Conversion to Function Pointer,Security,bsmd.c,1591,facility_init,HB_PRIO_1,New,None,"",/warninginstance/7545214665.txt
50,4499020.7545215036,Inappropriate Assignment Type,Style,ds_prerecfile.c,92,get_next_interval_prerec,HB_PRIO_2,New,None,"",/warninginstance/7545215036.txt
50,4507815.7545216960,Non-const String Literal,Style,coc_intf.c,5017,bsmd_coc_init,HB_PRIO_2,New,None,"",/warninginstance/7545216960.txt
50,4507816.7545216961,Non-const String Literal,Style,coc_intf.c,5019,bsmd_coc_init,HB_PRIO_2,New,None,"",/warninginstance/7545216961.txt
50,4508872.7545218131,Inappropriate Assignment Type,Style,sv2x_evtlog.c,49,sv2x_evt_init,HB_PRIO_2,New,None,"",/warninginstance/7545218131.txt
50,4508874.7545218133,Inappropriate Assignment Type,Style,sv2x_evtlog.c,93,sv2x_evtlog,HB_PRIO_2,New,None,"",/warninginstance/7545218133.txt
50,4513034.7545222384,Non-const String Literal,Style,common.c,1183,init_sv2x_fwd_api,HB_PRIO_2,New,None,"",/warninginstance/7545222384.txt
50,4515988.7545222830,Inappropriate Assignment Type,Style,io.c,1104,io_open,HB_PRIO_2,New,None,"",/warninginstance/7545222830.txt
50,4528251.7545227253,Inappropriate Assignment Type,Style,rv.c,265,fill_rv_stats,HB_PRIO_2,New,None,"",/warninginstance/7545227253.txt
50,4528255.7545227258,Inappropriate Assignment Type,Style,rv.c,459,rv_get_per,HB_PRIO_2,New,None,"",/warninginstance/7545227258.txt
50,4740808.7545213824,Inappropriate Assignment Type,Style,ds_coc.c,803,fill_bsm_part1_coc,HB_PRIO_2,New,None,"",/warninginstance/7545213824.txt
50,4740809.7545213825,Inappropriate Assignment Type,Style,ds_coc.c,804,fill_bsm_part1_coc,HB_PRIO_2,New,None,"",/warninginstance/7545213825.txt
50,4740810.7545213826,Inappropriate Assignment Type,Style,ds_coc.c,805,fill_bsm_part1_coc,HB_PRIO_2,New,None,"",/warninginstance/7545213826.txt
50,4811093.7545226176,Non-const String Literal,Style,bsmtransmit.c,201,bsm_tx_cb,HB_PRIO_2,New,None,"",/warninginstance/7545226176.txt
50,5730636.7545212927,Inappropriate Assignment Type,Style,sav_v2x_sec_service_ac.c,121,sav_v2x_sec_service_idchange_init,HB_PRIO_2,New,None,"",/warninginstance/7545212927.txt
50,5730638.7545213017,Inappropriate Assignment Type,Style,sav_v2x_sec_service_ac.c,1229,updateStatErrTimeStamp,HB_PRIO_2,New,None,"",/warninginstance/7545213017.txt
50,5730645.7545212933,Inappropriate Assignment Type,Style,sav_v2x_sec_service_ac.c,174,sav_v2x_security_network_conn_status_cb,HB_PRIO_2,New,None,"",/warninginstance/7545212933.txt
50,5730748.7545213343,Inappropriate Assignment Type,Style,dcc.c,435,dccUpdate,HB_PRIO_2,New,None,"",/warninginstance/7545213343.txt
50,5731277.7545218545,Inappropriate Assignment Type,Style,sv2x_cn_mgmt_api_i.c,631,sv2x_cn_get_mgmt_data,HB_PRIO_2,New,None,"",/warninginstance/7545218545.txt
50,5731285.7545218667,Inappropriate Assignment Type,Style,sv2x_cn_mgmt_api_ext_i.c,278,sv2x_cn_mgmt_recv_from_client,HB_PRIO_2,New,None,"",/warninginstance/7545218667.txt
50,5731287.7545218711,Inappropriate Assignment Type,Style,sv2x_cn_mgmt_api_ext_i.c,342,sv2x_cn_mgmt_recv_from_client,HB_PRIO_2,New,None,"",/warninginstance/7545218711.txt
50,5731288.7545218709,Inappropriate Assignment Type,Style,sv2x_cn_mgmt_api_ext_i.c,324,sv2x_cn_mgmt_recv_from_client,HB_PRIO_2,New,None,"",/warninginstance/7545218709.txt
50,5731301.7545218706,Inappropriate Assignment Type,Style,sv2x_cn_mgmt_api_ext_i.c,313,sv2x_cn_mgmt_recv_from_client,HB_PRIO_2,New,None,"",/warninginstance/7545218706.txt
50,5731309.7545218708,Inappropriate Assignment Type,Style,sv2x_cn_mgmt_api_ext_i.c,319,sv2x_cn_mgmt_recv_from_client,HB_PRIO_2,New,None,"",/warninginstance/7545218708.txt
50,5731310.7545218710,Inappropriate Assignment Type,Style,sv2x_cn_mgmt_api_ext_i.c,329,sv2x_cn_mgmt_recv_from_client,HB_PRIO_2,New,None,"",/warninginstance/7545218710.txt
50,5731911.7545225270,Inappropriate Assignment Type,Style,sav_v2x_sec_utils.c,78,convertUTCMicrosecondsToReadableDate,HB_PRIO_2,New,None,"",/warninginstance/7545225270.txt
50,5731912.7545225273,Inappropriate Assignment Type,Style,sav_v2x_sec_utils.c,91,convertUTCMicrosecondsToReadableDate,HB_PRIO_2,New,None,"",/warninginstance/7545225273.txt
50,5731913.7545225266,Inappropriate Assignment Type,Style,sav_v2x_sec_utils.c,63,hv2x_hexStringToDecimal,HB_PRIO_2,New,None,"",/warninginstance/7545225266.txt
50,5731923.7545225272,Inappropriate Assignment Type,Style,sav_v2x_sec_utils.c,90,convertUTCMicrosecondsToReadableDate,HB_PRIO_2,New,None,"",/warninginstance/7545225272.txt
50,5731924.7545225271,Inappropriate Assignment Type,Style,sav_v2x_sec_utils.c,89,convertUTCMicrosecondsToReadableDate,HB_PRIO_2,New,None,"",/warninginstance/7545225271.txt
50,5731929.7545225297,Inappropriate Assignment Type,Style,os.c,34,os_get_time,HB_PRIO_2,New,None,"",/warninginstance/7545225297.txt
50,5732199.7545226791,Inappropriate Assignment Type,Style,sav_v2x_sec_mgmt.c,605,sav_v2x_sec_mgmt_req_process,HB_PRIO_2,New,None,"",/warninginstance/7545226791.txt
50,5732202.7545226742,Inappropriate Assignment Type,Style,sav_v2x_sec_mgmt.c,278,sav_v2x_sec_mgmt_send_cert_status_resp,HB_PRIO_2,New,None,"",/warninginstance/7545226742.txt
50,5732206.7545226785,Inappropriate Assignment Type,Style,sav_v2x_sec_mgmt.c,541,sav_v2x_sec_mgmt_request_handler_ext,HB_PRIO_2,New,None,"",/warninginstance/7545226785.txt
50,5732210.7545226735,Inappropriate Assignment Type,Style,sav_v2x_sec_mgmt.c,226,sav_v2x_sec_mgmt_send_cert_reset_resp,HB_PRIO_2,New,None,"",/warninginstance/7545226735.txt
50,5732213.7545226731,Inappropriate Assignment Type,Style,sav_v2x_sec_mgmt.c,194,sav_v2x_sec_mgmt_send_err_ind,HB_PRIO_2,New,None,"",/warninginstance/7545226731.txt
50,5732221.7545226792,Inappropriate Assignment Type,Style,sav_v2x_sec_mgmt.c,606,sav_v2x_sec_mgmt_req_process,HB_PRIO_2,New,None,"",/warninginstance/7545226792.txt
50,5732225.7545226737,Inappropriate Assignment Type,Style,sav_v2x_sec_mgmt.c,257,sav_v2x_sec_mgmt_send_cert_reset_req,HB_PRIO_2,New,None,"",/warninginstance/7545226737.txt
50,5732231.7545226783,Inappropriate Assignment Type,Style,sav_v2x_sec_mgmt.c,538,sav_v2x_sec_mgmt_request_handler_ext,HB_PRIO_2,New,None,"",/warninginstance/7545226783.txt
50,5732267.7545227042,Inappropriate Assignment Type,Style,sv2x_cn_mgmt_api_ext.c,36,sv2x_get_cv2x_status,HB_PRIO_2,New,None,"",/warninginstance/7545227042.txt
50,5732286.7545227056,Inappropriate Assignment Type,Style,sv2x_cn_mgmt_api_ext.c,124,sv2x_mgmt_req_cert_reset,HB_PRIO_2,New,None,"",/warninginstance/7545227056.txt
50,5732343.7545227064,Inappropriate Assignment Type,Style,sv2x_cn_mgmt_api_ext.c,160,sv2x_mgmt_req_cert_status,HB_PRIO_2,New,None,"",/warninginstance/7545227064.txt
50,5742215.7545216011,Inappropriate Assignment Type,Style,sv2x_cn_mgmt_api_keepalive.c,451,sv2x_cn_send_stop_command,HB_PRIO_2,New,None,"",/warninginstance/7545216011.txt
